"market","companies","avg_venture","acquisition_rate"
 Web Hosting ,446,12824890,19.06
 Semiconductors ,507,19930015,17.55
 Security ,526,8915497,16.73
 Enterprise Software ,1280,10747676,15.63
 Public Relations ,173,3722589,13.87
 Video ,214,9996257,13.55
 Messaging ,297,7114713,13.13
 Curated Web ,1655,4373278,12.45
 Advertising ,1064,9896282,12.22
 Cloud Computing ,139,9196859,11.51
 Search ,289,6397293,11.42
 Sales and Marketing ,123,3775760,11.38
 Photography ,241,6803704,10.79
 Web Development ,103,6667752,10.68
 Networking ,189,5138810,10.05
