"market","companies","avg_venture_funding"
 Technology ,128,44961378.296875000000
 Entertainment ,60,29080374.483333333333
 Medical Devices ,67,27462456.850746268657
 Clean Technology ,783,24828328.703703703704
 Semiconductors ,428,23608685.985981308411
 Video ,93,23002139.817204301075
 Travel ,131,22512527.198473282443
 Public Transportation ,54,22160259.203703703704
 Health Care ,824,22108311.949029126214
 Cloud Computing ,62,20618763.822580645161
 E-Commerce ,741,20483385.730094466937
 Internet ,82,19957886.536585365854
 Analytics ,334,19706665.601796407186
 Web Hosting ,310,18451293.654838709677
 Advertising ,577,18248949.194107452340
